id,create_time,merge_time,hours_time_difference
1818980313,2024-04-12 00:28:05+00:00,2024-04-12 01:46:16+00:00,1.3030555555555556
1816751860,2024-04-10 20:11:24+00:00,2024-04-12 00:18:10+00:00,28.11277777777778
1814895676,2024-04-09 20:50:22+00:00,2024-04-11 20:52:49+00:00,48.04083333333333
1813498399,2024-04-09 06:51:49+00:00,2024-04-11 05:27:50+00:00,46.60027777777778
1814523921,2024-04-09 16:42:56+00:00,2024-04-10 19:39:03+00:00,26.935277777777777
1812364531,2024-04-08 15:07:50+00:00,2024-04-10 07:02:30+00:00,39.91111111111111
1810969492,2024-04-07 19:46:09+00:00,2024-04-10 01:36:48+00:00,53.844166666666666
1814724118,2024-04-09 18:30:27+00:00,2024-04-09 23:29:54+00:00,4.990833333333334
1812708373,2024-04-08 18:39:40+00:00,2024-04-09 22:31:30+00:00,27.863888888888887
1813774505,2024-04-09 09:42:28+00:00,2024-04-09 15:39:34+00:00,5.951666666666667
1814073584,2024-04-09 12:50:19+00:00,2024-04-09 15:35:37+00:00,2.755
1813839053,2024-04-09 10:21:19+00:00,2024-04-09 11:20:03+00:00,0.9788888888888889
1812863182,2024-04-08 20:29:54+00:00,2024-04-08 20:58:45+00:00,0.48083333333333333
1805059983,2024-04-03 16:08:15+00:00,2024-04-08 17:33:32+00:00,121.42138888888888
1807619281,2024-04-04 17:37:16+00:00,2024-04-08 15:56:23+00:00,94.31861111111111
1807494863,2024-04-04 16:31:31+00:00,2024-04-08 10:55:18+00:00,90.3963888888889
1806581192,2024-04-04 09:47:41+00:00,2024-04-08 09:53:56+00:00,96.10416666666667
1800839725,2024-04-01 16:56:41+00:00,2024-04-03 20:11:31+00:00,51.24722222222222
1796575679,2024-03-28 17:41:09+00:00,2024-04-03 17:45:07+00:00,144.0661111111111
1794819084,2024-03-27 20:17:09+00:00,2024-04-03 14:12:33+00:00,161.92333333333335
1790481505,2024-03-25 23:38:52+00:00,2024-04-03 11:11:42+00:00,203.54722222222222
